02751,027510,99999
02752,027520,99999
02753,027530,99999
02754,027540,99999
02755,027550,99999
02756,027560,99999
02757,027570,99999
02758,027580,99999
02759,027590,99999
02761,027610,99999
02763,027630,99999
02765,027650,99999
02766,027660,99999
02767,027670,99999
02768,027680,99999
02769,027690,99999
02770,027700,99999
02771,027710,99999
02772,027720,99999
02773,027730,99999
02777,027770,99999
02778,027780,99999
02780,027800,99999
02781,027810,99999
02787,027870,99999
02788,027880,99999
02789,027890,99999
02790,027900,99999
02791,027910,99999
02793,027930,99999
02794,027940,99999
02795,027950,99999
02796,027960,99999
02797,027970,99999
02798,027980,99999
02799,027990,99999
02800,028000,99999
02801,028010,99999
02803,028030,99999
02804,028040,99999
02805,028050,99999
02807,028070,99999
02811,028110,99999
02812,028120,99999
02813,028130,99999
02814,028140,99999
02815,028150,99999
02816,028160,99999
02817,028170,99999
02818,028180,99999
02819,028190,99999
02820,028200,99999
02821,028210,99999
02823,028230,99999
02824,028240,99999
02825,028250,99999
02827,028270,99999
02828,028280,99999
02829,028290,99999
02830,028300,99999
02831,028310,99999
02832,028320,99999
02833,028330,99999
02834,028340,99999
02835,028350,99999
02836,028360,99999
02844,028440,99999
02845,028450,99999
02847,028470,99999
02849,028490,99999
02851,028510,99999
02862,028620,99999
02863,028630,99999
02864,028640,99999
02866,028660,99999
02868,028680,99999
02869,028690,99999
02872,028720,99999
02873,028730,99999
02874,028740,99999
02875,028750,99999
02876,028760,99999
02879,028790,99999
02880,028800,99999
02881,028810,99999
02883,028830,99999
02888,028880,99999
02889,028890,99999
02897,028970,99999
02903,029030,99999
02907,029070,99999
02910,029100,99999
02911,029110,99999
02913,029130,99999
02915,029150,99999
02917,029170,99999
02919,029190,99999
02920,029200,99999
02924,029240,99999
02926,029260,99999
02929,029290,99999
02931,029310,99999
02935,029350,99999
02937,029370,99999
02939,029390,99999
02942,029420,99999
02943,029430,99999
02944,029440,99999
02945,029450,99999
02946,029460,99999
02947,029470,99999
02948,029480,99999
02949,029490,99999
02950,029500,99999
02952,029520,99999
02955,029550,99999
02956,029560,99999
02957,029570,99999
02958,029580,99999
02959,029590,99999
02963,029630,99999
02964,029640,99999
02965,029650,99999
02966,029660,99999
02967,029670,99999
02970,029700,99999
02972,029720,99999
02974,029740,99999
02975,029750,99999
02976,029760,99999
02978,029780,99999
02979,029790,99999
02980,029800,99999
02981,029810,99999
02982,029820,99999
02983,029830,99999
02984,029840,99999
02987,029870,99999
02991,029910,99999
02992,029920,99999
02993,029930,99999
02998,029980,99999
03003,030030,99999
03017,030170,99999
03022,030220,99999
03026,030260,99999
03035,030350,99999
03059,030590,99999
03062,030620,99999
03066,030660,99999
03068,030680,99999
03075,030750,99999
03091,030910,99999
03100,031000,99999
03111,031110,99999
03132,031320,99999
03135,031350,99999
03140,031400,99999
03160,031600,99999
03163,031634,99999
03165,031650,99999
03171,031710,99999
03204,032040,99999
03214,032140,99999
03222,032220,99999
03240,032400,99999
03243,032433,99999
03257,032570,99999
03261,032610,99999
03263,032635,99999
03264,032643,99999
03266,032660,99999
03302,033020,99999
03318,033180,99999
03321,033210,99999
03334,033340,99999
03355,033550,99999
03372,033723,99999
03373,033730,99999
03377,033770,99999
03379,033790,99999
03384,033840,99999
03391,033910,99999
03392,033920,99999
03414,034140,99999
03416,034145,99999
03453,034530,99999
03462,034620,99999
03469,034690,99999
03482,034820,99999
03487,034873,99999
03492,034920,99999
03495,034950,99999
03502,035020,99999
03534,035340,99999
03547,035471,99999
03562,035620,99999
03566,035660,99999
03577,035770,35046
03583,035830,35034
03590,035900,99999
03595,035953,99999
03596,035963,35048
03605,036050,99999
03644,036440,99999
03649,036490,99999
03658,036580,99999
03672,036720,99999
03673,036733,99999
03683,036830,99999
03691,036913,99999
03707,037070,99999
03715,037150,99999
03716,037160,99999
03724,037243,99999
03740,037400,99999
03746,037460,99999
03749,037490,99999
03761,037610,99999
03763,037630,99999
03766,037660,99999
03768,037680,99999
03772,037720,99999
03776,037760,99999
03779,037790,99999
03801,037970,35047
03803,038030,99999
03809,038090,99999
03817,038170,99999
03827,038270,99999
03839,038390,99999
03853,038530,99999
03858,038580,99999
03862,038620,99999
03865,038650,99999
03876,038760,99999
03891,038915,99999
03894,038940,99999
03895,038950,99999
03917,039170,99999
03924,039240,99999
03955,039550,99999
03962,039620,99999
03967,039670,99999
03969,039690,99999
03973,039730,99999
04013,040130,99999
04018,040180,16201
04030,040300,99999
04048,040480,99999
04063,040630,99999
04065,040650,99999
04077,040770,99999
04082,040820,99999
04085,040850,99999
04089,040890,99999
04202,042020,99999
04203,042030,99999
04205,042050,99999
04208,042080,99999
04211,042110,99999
04214,042140,99999
04220,042200,99999
04228,042280,99999
04230,042300,99999
04231,042310,99999
04234,042340,99999
04242,042420,99999
04250,042500,99999
04253,042530,99999
04260,042600,99999
04261,042610,99999
04266,042660,99999
04270,042700,99999
04272,042720,99999
04285,042850,99999
04301,043010,99999
04312,043120,99999
04313,043130,99999
04320,043200,99999
04330,043300,99999
04338,043380,99999
04339,043390,99999
04340,043400,99999
04341,043410,99999
04351,043510,99999
04360,043600,99999
04361,043610,99999
04373,043730,99999
04382,043820,99999
04390,043900,99999
04416,044160,99999
06010,060100,99999
06022,060220,99999
06024,060240,99999
06030,060300,99999
06034,060340,99999
06048,060480,99999
06054,060540,99999
06060,060600,99999
06062,060620,99999
06066,060660,99999
06070,060700,99999
06078,060780,99999
06080,060800,99999
06100,061000,99999
06104,061040,99999
06108,061080,99999
06110,061100,99999
06118,061180,99999
06120,061200,99999
06124,061240,99999
06143,061430,99999
06150,061245,99999
06160,061600,99999
06170,061700,99999
06180,061800,99999
06190,061900,99999
06209,062090,99999
06210,062100,99999
06225,062250,99999
06229,062290,99999
06235,062350,99999
06239,062390,99999
06240,062400,99999
06242,062420,99999
06248,062480,99999
06249,062490,99999
06251,062510,99999
