01001,JNM00001001
01004,NOE00134766
01007,NOE00134778
01008,SV000001008
01015,NOE00134886
01025,NOE00134898
01026,NO000001026
01028,NO000099710
01051,NO000093300
01065,NO000097250
01098,NO000098550
01114,NOM00001114
01152,NO000011520
01212,NO000001212
01233,NOM00001233
01238,NOM00001238
01241,NOE00109604
01271,NOE00112071
01274,NO000068330
01317,NO000050540
01373,NOE00105503
01384,NOE00109514
01389,NOM00001389
01403,NO000014030
01415,NOE00109680
01465,NO000001465
01492,NOM00001492
02080,SWM00002080
02120,SW000002120
02128,SW000021280
02196,SW000002196
02197,SWE00140622
02226,SWE00100026
02287,SWE00140178
02288,SW000002288
02366,SWE00115961
02410,SW000002410
02418,SW000024180
02433,SW000010537
02468,SWM00002468
02485,SWM00002485
02512,SW000002512
02550,SW000002550
02562,SW000008525
02584,SWM00002584
02589,SWM00002589
02590,SW000002590
02768,FIE00143066
02778,FIE00144132
02788,FIE00144712
02791,FIE00144882
02801,FIM00002801
02803,FIE00145627
02805,FIE00146698
02812,FIE00146162
02823,FIE00146423
02828,FIE00141935
02829,FIE00142751
02833,FIE00144322
02835,FIE00146783
02836,FI000007501
02849,FIE00146378
02869,FIE00146062
02875,FIE00145622
02897,FIE00145377
02911,FIE00144212
02912,FIE00144302
02929,FIE00144877
02935,FI000002401
02937,FIE00142631
02942,FIE00143381
02958,FIE00143231
02963,FI000002963
02972,FIE00142511
02974,FIE00142080
02978,FIE00142101
02981,FIE00141810
03005,UK000003005
03014,UKM00003014
03017,UKM00003017
03026,UK000003026
03066,UKM00003066
03075,UK000070765
03091,UKM00003091
03100,UKM00003100
03162,UK000003162
03171,UKM00003171
03257,UKM00003257
03302,UK000003302
03334,UKM00003334
03377,UK000003377
03414,UKM00003414
03502,UKM00003502
03577,UKW00035046
03583,UKW00035034
03590,UKM00003590
03740,UKM00003740
03772,UKM00003772
03797,UKW00035047
03808,UK000003808
03862,UKM00003862
03917,UKM00003917
03953,EI000003953
03955,EIM00003955
03956,EIM00003956
03957,EIM00003957
03962,EIM00003962
03965,EI000003965
03967,EIM00003967
03969,EI000003969
03973,EIM00003973
03976,EIM00003976
03980,EI000003980
04013,IC000004013
04014,ICM00004014
04018,ICW00016201
04030,IC000004030
04048,IC000004048
04063,IC000004063
04082,ICM00004082
04092,IC000004092
04130,ICM00004130
04197,IC000004097
04202,GLW00017605
04210,GLE00146901
04211,GLE00146908
04220,GLM00004220
04250,GL000004250
04312,GLE00147401
04320,GL000004320
04339,GLE00147481
04360,GL000004360
04390,GLM00004390
06011,DAM00006011
06030,DAM00006030
06186,DA000030380
06190,DAM00006190
06193,DA000032020
06235,NLM00006235
06260,NLM00006260
06280,NLM00006280
06310,NLM00006310
06380,NLM00006380
06447,BE000006447
06590,LU000006590
06601,SZ000001940
06610,SZE00116090
06660,SZ000003700
06680,SZ000002220
06700,SZ000008440
06717,SZ000006717
06720,SZE00105086
06770,SZ000009480
07005,FRM00007005
07015,FRM00007015
07020,FRE00104937
07027,FRM00007027
07037,FRM00007037
07038,FRW00034061
07072,FRM00007072
07100,FRM00007100
07110,FRM00007110
07117,FRM00007117
07130,FR000007130
07139,FRM00007139
07149,FRM00007149
07156,FR000007150
07168,FRM00007168
07179,FRW00034051
07180,FRM00007180
07181,FRM00007181
07186,FRW00034062
07190,FR000007190
07207,FRM00007207
07222,FRM00007222
07240,FRM00007240
07255,FR000007255
07280,FRM00007280
07299,FRM00007299
07314,FRM00007314
07335,FRM00007335
07354,FRW00034048
07434,FRM00007434
07460,FRM00007460
07471,FRM00007471
07480,FR069029001
07481,FRM00007481
07510,FR000007510
07535,FRM00007535
07558,FRM00007558
07560,FR000007560
07577,FRE00104907
07591,FRM00007591
07607,FRM00007607
07621,FRM00007621
07627,FRM00007627
07630,FR000007630
07643,FRM00007643
07650,FR000007650
07661,FRM00007661
07690,FRM00007690
07747,FR000007747
07761,FRM00007761
07790,FRM00007790
08001,SPE00119711
08002,SPE00119720
08008,SPE00120260
08011,SPE00119792
08014,SPE00119819
08015,SPE00119828
08021,SPE00119990
08023,SPE00119981
08025,SPE00120611
08027,SP000008027
08029,SPE00120134
08042,SPE00119729
08044,SPE00120395
08045,SPE00120413
08048,SPE00120368
08053,SPE00120233
08055,SPE00120224
08075,SPE00119909
08080,SPE00119747
08084,SPE00120188
08085,SPE00120359
08130,SPE00120620
08140,SPE00120602
08141,SPE00120593
08148,SPE00120521
08160,SP000009434
08171,SPE00120242
08175,SPE00120530
08181,SP000008181
08184,SPE00120080
08202,SP000008202
08210,SPE00119837
08213,SPE00120485
08215,SP000008215
08219,SPE00120269
08221,SPE00120278
08222,SP000003195
08223,SPE00120287
08224,SPE00120296
08226,SPE00120107
08227,SPW00014011
08231,SPE00120062
08235,SPE00120557
08238,SP000009981
08261,SPE00119918
08272,SPE00120566
08280,SP000008280
08284,SPM00008284
08285,SP000008416
08286,SPE00119999
08306,SPE00119882
08314,SPE00119864
08330,SP000004452
08348,SPE00120035
08359,SPM00008359
08360,SPM00008360
08373,SPE00119855
08383,SPE00120152
08391,SPE00120512
08397,SPW00013024
08410,SP000008410
08417,SPE00120170
08419,SPE00120089
08420,SPM00008420
08429,SPE00120332
08430,SPE00120323
08433,SP000007038
08449,SPW00013025
08451,SPE00119945
08452,SPE00119936
08482,SP000006155
08487,SPE00119783
08495,GIM00008495
08501,POM00008501
08506,PO000008506
08509,POW00013201
08512,POM00008512
08515,POM00008515
08521,POM00008521
08522,PO000008522
08524,POM00008524
08535,PO000008535
08546,PO000008546
08548,POM00008548
08549,PO000008549
08554,POM00008554
08558,POM00008558
08562,PO000008562
08570,POM00008570
08575,PO000008575
08583,CVM00008583
08589,CVM00008589
08594,CVM00008594
10015,GME00102177
10020,GME00102185
10022,GMM00010022
10028,GMM00010028
10035,GME00102193
10042,GMM00010042
10046,GME00121030
10055,GME00102201
10091,GME00121018
10093,GMM00010093
10097,GMM00010097
10113,GME00121102
10129,GMM00010129
10130,GMM00010130
10131,GME00121270
10139,GMM00010139
10142,GMM00010142
10146,GMM00010146
10147,GM000010147
10150,GMM00010150
10152,GMM00010152
10156,GMM00010156
10161,GMM00010161
10162,GM000003038
10168,GMM00010168
10170,GME00102212
10180,GMM00010180
10184,GME00102220
10193,GMM00010193
10200,GME00102228
10210,GMM00010210
10224,GM000001474
10235,GMM00010235
10249,GMM00010249
10253,GMM00010253
10261,GMM00010261
10264,GME00121090
10267,GMM00010267
10268,GMM00010268
10270,GME00102236
10281,GMM00010281
10289,GMM00010289
10291,GME00120994
10305,GMM00010305
