01001,01001
01008,01008
01025,01025
01028,01028
01049,01049
01052,01052
01059,01059
01089,01089
01092,01092
01112,01112
01149,01149
01152,01152
01180,01180
01194,01194
01210,01210
01223,01223
01238,01238
01241,01241
01271,01271
01290,01290
01311,01311
01338,01338
01347,01347
01366,01366
01368,01368
01380,01380
01384,01384
01385,01385
01403,01403
01415,01415
01452,01452
01475,01475
01481,01481
01488,01488
01492,01492
01493,01493
01494,01494
02049,02049
02086,02086
02096,02096
02120,02120
02128,02128
02186,02186
02196,02196
02226,02226
02267,02267
02284,02284
02286,02286
02293,02293
02324,02324
02355,02355
02366,02366
02378,02378
02404,02404
02418,02418
02435,02435
02458,02458
02460,02460
02464,02464
02469,02469
02476,02476
02481,02481
02490,02490
02493,02493
02500,02500
02505,02505
02512,02512
02513,02513
02520,02520
02527,02527
02542,02542
02550,02550
02559,02559
02562,02562
02566,02566
02574,02574
02584,02584
02586,02586
02590,02590
02595,02595
02603,02603
02604,02604
02607,02607
02611,02611
02616,02616
02620,02620
02623,02623
02625,02625
02628,02628
02635,02635
02636,02636
02641,02641
02648,02648
02651,02651
02664,02664
02670,02670
02680,02680
02752,02752
02807,02807
02830,02830
02836,02836
02847,02847
02869,02869
02876,02876
02897,02897
02911,02911
02912,02912
02915,02915
02917,02917
02929,02929
02935,02935
02944,02944
02947,02947
02948,02948
02952,02952
02958,02958
02965,02965
02966,02966
02970,02970
02972,02972
02974,02974
02975,02975
02982,02982
03005,03005
03017,03017
03026,03026
03041,03041
03044,03044
03059,03059
03063,03063
03065,03065
03066,03066
03068,03068
03075,03075
03091,03091
03094,03094
03100,03100
03114,03114
03132,03132
03135,03135
03136,03136
03140,03140
03154,03154
03158,03158
03160,03160
03162,03162
03171,03171
03204,03204
03220,03220
03235,03235
03245,03245
03246,03246
03257,03257
03261,03261
03262,03262
03265,03265
03266,03266
03275,03275
03292,03292
03302,03302
03313,03313
03318,03318
03321,03321
03334,03334
03347,03347
03354,03354
03377,03377
03379,03379
03385,03385
03405,03405
03414,03414
03453,03453
03462,03462
03482,03482
03492,03492
03495,03495
03496,03496
03502,03502
03503,03503
03520,03520
03534,03534
03560,03560
03590,03590
03604,03604
03628,03628
03647,03647
03649,03649
03672,03672
03683,03683
03707,03707
03715,03715
03726,03726
03740,03740
03743,03743
03768,03768
03772,03772
03776,03776
03779,03779
03781,03781
03797,03797
03803,03803
03808,03808
03809,03809
03817,03817
03827,03827
03839,03839
03853,03853
03862,03862
03865,03865
03866,03866
03882,03882
03894,03894
03895,03895
03903,03903
03908,03908
03914,03914
03917,03917
03953,03953
03955,03955
03957,03957
03960,03960
03962,03962
03969,03969
03971,03971
03976,03976
03980,03980
04018,04018
04030,04030
04048,04048
04063,04063
04072,04072
04094,04094
04097,04097
04231,04231
04250,04250
04270,04270
04320,04320
04330,04330
04339,04339
04360,04360
04361,04361
06011,06011
06030,06030
06041,06041
06052,06052
06060,06060
06062,06062
06070,06070
06078,06078
06080,06080
06104,06104
06110,06110
06119,06119
06120,06120
06141,06141
06147,06147
06160,06160
06169,06169
06170,06170
06174,06174
06180,06180
06190,06190
06210,06210
06235,06235
06240,06240
06242,06242
06250,06250
06260,06260
06270,06270
06275,06275
06279,06279
06280,06280
06290,06290
06310,06310
06330,06330
06344,06344
06350,06350
06370,06370
06375,06375
06380,06380
06407,06407
06431,06431
06449,06449
06450,06450
06451,06451
06456,06456
06458,06458
06476,06476
06478,06478
06479,06479
06490,06490
06496,06496
06590,06590
06601,06601
06604,06604
06605,06605
06606,06606
